DOID:0001816	angiosarcoma	angiosarcoma|angiosarcoma non-metastatic|angiosarcoma nonmetastatic|angiosarcoma nos|angiosarcomas|haemangioendothelial sarcoma|haemangioendothelial sarcomas|haemangioendothelioma malignant|haemangiosarcoma|haemangiosarcoma nos|haemangiosarcomas|hemangioendothelial sarcoma|hemangioendothelial sarcomas|hemangioendothelioma malignant|hemangiosarcoma|hemangiosarcoma nos|hemangiosarcomas|localized angiosarcoma|localized angiosarcomas|malign haemangioendothelioma|malign haemangioendotheliomas|malign hemangioendothelioma|malign hemangioendotheliomas|malignant angioendothelioma|malignant angioendotheliomas|malignant haemangioendothelioma|malignant haemangioendotheliomas|malignant hemangioendothelioma|malignant hemangioendotheliomas|non-metastatic angiosarcoma|non-metastatic angiosarcomas|non-metastatic hemangiosarcoma|non-metastatic hemangiosarcomas
DOID:4422	malignant adenofibroma	adenocarcinofibroma|adenocarcinofibromas|malignant adenofibroma|malignant adenofibromas
DOID:4430	somatostatinoma	delta cell tumor|delta cell tumors|delta cell tumour|delta cell tumours|somatostatin cell neoplasm|somatostatin cell neoplasms|somatostatin cell tumor|somatostatin cell tumors|somatostatin cell tumour|somatostatin cell tumours|somatostatin producing tumor|somatostatin producing tumors|somatostatin producing tumour|somatostatin producing tumours|somatostatin-producing net|somatostatin-producing neuroendocrine tumor|somatostatin-producing neuroendocrine tumors|somatostatin-producing neuroendocrine tumour|somatostatin-producing neuroendocrine tumours|somatostatin-producing tumor|somatostatin-producing tumors|somatostatin-producing tumour|somatostatin-producing tumours|somatostatinoma|somatostatinomas|tumor of delta cells|tumor of the delta cells|tumour of delta cells|tumour of the delta cells
DOID:4432	pancreatic somatostatinoma	islet cell somatostatinoma|islet cell somatostatinomas|pancreatic delta cell somatostatin producing neoplasm|pancreatic delta cell somatostatin producing neoplasms|pancreatic somatostatin cell tumor|pancreatic somatostatin cell tumors|pancreatic somatostatin cell tumour|pancreatic somatostatin cell tumours|pancreatic somatostatinoma|pancreatic somatostatinomas
DOID:4433	pancreatic delta cell neoplasm	pancreatic delta cell neoplasm|pancreatic delta cell neoplasms|pancreatic delta cell net|pancreatic delta cell neuroendocrine tumor|pancreatic delta cell neuroendocrine tumors|pancreatic delta cell neuroendocrine tumour|pancreatic delta cell neuroendocrine tumours|pancreatic delta cell tumor|pancreatic delta cell tumors|pancreatic delta cell tumour|pancreatic delta cell tumours
DOID:4435	cavernous sinus meningioma	cavernous sinus meningioma|cavernous sinus meningiomas|meningioma of cavernous sinus|meningioma of the cavernous sinus
DOID:4436	anterior cranial fossa meningioma	anterior cranial fossa meningioma|anterior cranial fossa meningiomas|anterior fossa meningioma|anterior fossa meningiomas|meningioma of anterior cranial fossa|meningioma of anterior fossa|meningioma of the anterior cranial fossa|meningioma of the anterior fossa
DOID:4437	skull base meningioma	meningioma of skull base|meningioma of the skull base|skull base meningioma|skull base meningiomas
DOID:4438	central nervous system germinoma	central nervous system germinoma|central nervous system germinomas|cns germinoma|cns germinomas|germinoma of central nervous system|germinoma of cns|germinoma of the central nervous system|germinoma of the cns
DOID:4439	central nervous system germ cell tumor	central nervous system germ cell neoplasm|central nervous system germ cell neoplasms|central nervous system germ cell tumor|central nervous system germ cell tumors|central nervous system germ cell tumour|central nervous system germ cell tumours|cns germ cell neoplasm|cns germ cell neoplasms|cns germ cell tumor|cns germ cell tumors|cns germ cell tumour|cns germ cell tumours|germ cell neoplasm of central nervous system|germ cell neoplasm of cns|germ cell neoplasm of the central nervous system|germ cell neoplasm of the cns|germ cell tumor of central nervous system|germ cell tumor of cns|germ cell tumor of the central nervous system|germ cell tumor of the cns|germ cell tumour of central nervous system|germ cell tumour of cns|germ cell tumour of the central nervous system|germ cell tumour of the cns
DOID:4440	seminoma	malignant neoplasm seminoma|malignant neoplasm seminomas|malignant seminoma|malignant seminomas|seminoma|seminoma nos|seminomas
DOID:4441	dysgerminoma	disgerminoma|disgerminomas|dysgerminoma|dysgerminomas
DOID:4442	cervical alveolar soft part sarcoma	cervical alveolar soft part sarcoma|cervical alveolar soft part sarcomas
DOID:4450	renal cell carcinoma	adenocarcinoma cells renal|adenocarcinoma kidneys|adenocarcinoma of kidney|adenocarcinoma of kidneys|adenocarcinoma of the kidney|adenocarcinoma renal|cancer cell renal|cancer cells renal|cancer starting in small tubes in kidneys|carcinoma cell renal|carcinoma cells renal|carcinoma kidney|carcinoma renal|carcinomas renal|cell renal cancer|cell renal cancers|grawitz tumor|grawitz tumors|grawitz tumour|grawitz tumours|hypernephroid carcinomas|hypernephroma|hypernephromas|kidney adenocarcinoma|kidney adenocarcinomas|nephroid carcinoma|nephroid carcinomas|rccs|renal adenocarcinoma|renal adenocarcinomas|renal cell adenocarcinoma|renal cell adenocarcinomas|renal cell carcinoma|renal cell carcinoma - morphology|renal cell carcinoma nos|renal cell carcinoma stage unspecified|renal cell carcinoma-morpholog|renal cell carcinomas
DOID:4451	renal carcinoma	carcinoma kidney|carcinoma of kidney|kidney carcinoma|kidney carcinomas|renal carcinoma|renal carcinomas
DOID:4454	childhood kidney cell carcinoma	childhood kidney cell carcinoma|childhood kidney cell carcinomas|childhood renal cell carcinoma|childhood renal cell carcinomas|pediatric kidney cell carcinoma|pediatric kidney cell carcinomas|pediatric renal cell carcinoma|pediatric renal cell carcinomas
DOID:4455	hereditary renal cell carcinoma	familial renal cancer|familial renal cancers|hereditary renal cell cancer|hereditary renal cell cancers|hereditary renal cell carcinoma|hereditary renal cell carcinomas
DOID:4463	multilocular clear cell renal cell carcinoma	cystadenocarcinoma of kidney|mcrcc|multilocular clear cell adenocarcinoma|multilocular clear cell adenocarcinomas|multilocular clear cell carcinoma|multilocular clear cell carcinomas|multilocular clear cell renal cell adenocarcinoma|multilocular clear cell renal cell adenocarcinomas|multilocular clear cell renal cell carcinoma|multilocular clear cell renal cell carcinomas|multilocular cystic renal cell adenocarcinoma|multilocular cystic renal cell adenocarcinomas|multilocular cystic renal cell carcinoma|multilocular cystic renal cell carcinomas|multilocular cystic renal neoplasm of low malignant potential|renal cystadenocarcinoma|renal cystadenocarcinomas
DOID:4464	collecting duct carcinoma	bellini carcinoma|bellini carcinomas|bellini duct carcinoma|bellini duct carcinomas|carcinoma of collecting ducts of bellini|carcinoma of kidney collecting duct|carcinoma of renal collecting duct|carcinoma of the collecting ducts of bellini|carcinoma of the kidney collecting duct|carcinoma of the renal collecting duct|collecting duct carcinoma|collecting duct carcinoma of kidney|collecting duct carcinoma of the kidney|collecting duct carcinomas|collecting duct renal cancer|collecting duct renal cancers|kidney collecting duct carcinoma|kidney collecting duct carcinomas|renal collecting duct carcinoma|renal collecting duct carcinomas|renal medullary carcinoma|renal medullary carcinomas
DOID:4465	papillary renal cell carcinoma	chromophil carcinoma of kidney|chromophil carcinoma of the kidney|chromophil renal cell carcinoma|chromophil renal cell carcinomas|papillary kidney carcinoma|papillary kidney carcinomas|papillary renal cell adenocarcinoma|papillary renal cell adenocarcinomas|papillary renal cell carcinoma|papillary renal cell carcinomas|prcc|sporadic papillary renal cell carcinoma|sporadic papillary renal cell carcinomas
DOID:4467	clear cell renal cell carcinoma	carcinoma cell clear kidney|ccrcc|clear cell adenocarcinoma of kidney|clear cell adenocarcinoma of the kidney|clear cell carcinoma of kidney|clear cell carcinoma of the kidney|clear cell kidney carcinoma|clear cell kidney carcinomas|clear cell renal carcinoma|clear cell renal carcinomas|clear cell renal cell adenocarcinoma|clear cell renal cell adenocarcinomas|clear cell renal cell carcinoma|clear cell renal cell carcinomas|conventional renal cell carcinoma|conventional renal cell carcinomas|grawitz tumor|grawitz tumors|grawitz tumour|grawitz tumours|hypernephroid carcinoma|hypernephroid carcinomas|hypernephroma|hypernephromas|kidney clear cell adenocarcinoma|kidney clear cell adenocarcinomas|kidney clear cell carcinoma|kidney clear cell carcinomas|renal clear cell adenocarcinoma|renal clear cell adenocarcinomas|renal clear cell carcinoma|renal clear cell carcinomas|renal malignant carcinoma clear cell
DOID:4468	clear cell adenocarcinoma	911 mesonephromas|adenocarcinoma cell clear|adenocarcinoma clear cell|carcinoma cell clear|carcinoma clear cell|carcinomas cell clear|clear cell adenocarcin nos|clear cell adenocarcinoma|clear cell adenocarcinoma nos|clear cell adenocarcinomas|clear cell carcinoma|clear cell carcinomas|malignant glandular clear cell|malignant mesonephroma|malignant mesonephromas|mesometanephric carcinoma|mesometanephric carcinomas|mesonephr clear cell adenoca|mesonephric adenocarcinoma|mesonephric adenocarcinomas|mesonephric carcinoma|mesonephric carcinomas|mesonephroid clear cell adenocarcinoma|mesonephroid clear cell adenocarcinomas|mesonephroid clear cell carcinoma|mesonephroid clear cell carcinomas|mesonephroma|mesonephroma nos|mesonephromas|mnac|water-clear cell adenoca|water-clear cell adenocarcinoma|water-clear cell adenocarcinomas|water-clear cell carcinoma|water-clear cell carcinomas|wolffian duct carcinoma|wolffian duct carcinomas|wolffian duct neoplasm|wolffian duct neoplasms
DOID:4471	chromophobe renal cell carcinoma	chromophobe adenocarcinoma|chromophobe adenocarcinomas|chromophobe carcinoma|chromophobe carcinoma of kidney|chromophobe carcinoma of the kidney|chromophobe carcinomas|chromophobe cell carcinoma of kidney|chromophobe cell carcinoma of the kidney|chromophobe cell renal carcinoma|chromophobe cell renal carcinomas|chromophobe renal cell adenocarcinoma|chromophobe renal cell adenocarcinomas|chromophobe renal cell carcinoma|chromophobe renal cell carcinomas|chromophobe type renal cell carcinoma|chromophobe type renal cell carcinomas|kidney chromophobe
DOID:4472	mucinous tubular and spindle renal cell carcinoma	mucinous tubular and spindle cell carcinoma of the kidney|mucinous tubular and spindle renal cell carcinoma|mucinous tubular and spindle renal cell carcinomas
DOID:4473	sarcomatoid renal cell carcinoma	renal cell carcinoma with sarcomatoid features|sarcomatoid renal cell carcinoma|sarcomatoid renal cell carcinomas
DOID:4486	malignant biphasic mesothelioma	biphasic mesothelioma|biphasic mesotheliomas|malign biphasic mesothelioma|malign biphasic mesotheliomas|malignant biphasic mesothelioma|malignant biphasic mesotheliomas|malignant mixed mesothelioma|malignant mixed mesotheliomas|mixed mesothelioma|mixed mesotheliomas
DOID:4488	sarcomatoid mesothelioma	fibrous mesothelial sarcoma|fibrous mesothelial sarcomas|fibrous mesothelioma|fibrous mesotheliomas|malignant fibrous mesothelioma|malignant fibrous mesotheliomas|mesothelial sarcoma|mesothelial sarcomas|sarcomatoid mesothelioma|sarcomatoid mesotheliomas|sarcomatous mesothelial sarcoma|sarcomatous mesothelial sarcomas|sarcomatous mesothelioma|sarcomatous mesotheliomas|spindled mesothelioma|spindled mesotheliomas
DOID:4489	malignant epithelial mesothelioma	epithelial malignant mesothelioma|epithelial malignant mesotheliomas|epithelial mesothelioma|epithelial mesotheliomas|epithelioid mesothelioma|epithelioid mesotheliomas|malig epithelioid mesothelioma|malig epithelioid mesotheliomas|malignant epithelial mesothelioma|malignant epithelial mesotheliomas|malignant epithelioid mesothelioma|malignant epithelioid mesotheliomas
DOID:4490	malignant peritoneal solitary fibrous tumor	malignant peritoneal solitary fibrous tumor|malignant peritoneal solitary fibrous tumors|malignant peritoneal solitary fibrous tumour|malignant peritoneal solitary fibrous tumours|pleural and peritoneal solitary fibrous tumor|pleural and peritoneal solitary fibrous tumors|pleural and peritoneal solitary fibrous tumour|pleural and peritoneal solitary fibrous tumours
DOID:4504	central nervous system angiosarcoma	angiosarcoma of central nervous system|angiosarcoma of cns|angiosarcoma of the central nervous system|angiosarcoma of the cns|central nervous system angiosarcoma|central nervous system angiosarcomas|central nervous system hemangiosarcoma|central nervous system hemangiosarcomas|cns angiosarcoma|cns angiosarcomas|cns hemangiosarcoma|cns hemangiosarcomas|hemangiosarcoma of central nervous system|hemangiosarcoma of cns|hemangiosarcoma of the central nervous system|hemangiosarcoma of the cns
DOID:4505	childhood angiosarcoma	childhood angiosarcoma|childhood angiosarcomas|childhood hemangiosarcoma|childhood hemangiosarcomas|paediatric angiosarcoma|paediatric angiosarcomas|paediatric hemangiosarcoma|paediatric hemangiosarcomas|pediatric angiosarcoma|pediatric angiosarcomas|pediatric hemangiosarcoma|pediatric hemangiosarcomas
DOID:4510	aorta angiosarcoma	angiosarcoma of aorta|angiosarcoma of the aorta|aorta angiosarcoma|aorta angiosarcomas|aortic angiosarcoma|aortic angiosarcomas|aortic hemangiosarcoma|aortic hemangiosarcomas|hemangiosarcoma of aorta|hemangiosarcoma of the aorta
DOID:4511	breast angiosarcoma	angiosarcoma of breast|angiosarcoma of the breast|breast angiosarcoma|breast angiosarcomas|breast hemangiosarcoma|breast hemangiosarcomas|breast neoplasm malignant sarcoma angiosarcoma|breast neoplasm malignant sarcoma angiosarcomas|hemangiosarcoma of breast|hemangiosarcoma of the breast
DOID:4512	conventional angiosarcoma	conventional angiosarcoma|conventional angiosarcomas
DOID:4513	gallbladder angiosarcoma	angiosarcoma of gallbladder|angiosarcoma of the gallbladder|gallbladder angiosarcoma|gallbladder angiosarcomas|gallbladder hemangiosarcoma|gallbladder hemangiosarcomas|hemangiosarcoma of gallbladder|hemangiosarcoma of the gallbladder
DOID:4514	thyroid angiosarcoma	angiosarcoma of the thyroid|angiosarcoma of the thyroid gland|angiosarcoma of thyroid|angiosarcoma of thyroid gland|hemangiosarcoma of the thyroid|hemangiosarcoma of the thyroid gland|hemangiosarcoma of thyroid|hemangiosarcoma of thyroid gland|thyroid angiosarcoma|thyroid angiosarcomas|thyroid gland angiosarcoma|thyroid gland angiosarcomas|thyroid gland hemangiosarcoma|thyroid gland hemangiosarcomas|thyroid gland malignant hemangioendothelioma|thyroid gland malignant hemangioendotheliomas|thyroid hemangiosarcoma|thyroid hemangiosarcomas
DOID:4515	thyroid sarcoma	sarcoma of the thyroid|sarcoma of the thyroid gland|sarcoma of thyroid|sarcoma of thyroid gland|thyroid gland sarcoma|thyroid gland sarcomas|thyroid sarcoma|thyroid sarcomas
DOID:4517	skin angiosarcoma	angiosarcoma of skin|angiosarcoma of the skin|cutaneous hemangiosarcoma|cutaneous hemangiosarcomas|dermal hemangiosarcoma|dermal hemangiosarcomas|hemangiosarcoma of skin|hemangiosarcoma of the skin|malignant neoplasm sarcoma angiosarcoma of skin|skin angiosarcoma|skin angiosarcomas|skin hemangiosarcoma|skin hemangiosarcomas
DOID:4520	cervical endometrial stromal sarcoma	cervical endometrial stromal sarcoma|cervical endometrial stromal sarcomas|endometrial stromal sarcoma of the cervix|endometrioid stromal sarcoma of the cervix
